CO,NO2,PM2.5,SO2,source_label,health_impact,Precautionary_Measures,AQI
4.657,29.58,119.25,9.52,Waste burning,Unhealthy,Avoid all non-essential outdoor physical exertion,61.9535
6.072,68.77,28.73,0.75,Traffic congestion,Moderate,Be mindful of your body's health reactions,17.401
2.237,52.57,65.16,45.2,Power plant emissions,Unhealthy,Wear a high-efficiency particulate air mask outdoors,33.6985
6.339,33.54,126.99,7.07,Waste burning,Unhealthy,Use an air purifier to improve indoor air quality,66.6645
4.229,18.45,107.41,0.68,Domestic cooking/heating smoke,Unhealthy,Consider wearing an N95 respirator mask outdoors,55.8195
1.321,7.06,156.61,6.02,Construction dust,Very unhealthy,Keep windows sealed and use indoor air circulation,78.9655
2.928,61.64,94.9,34.86,Industrial emissions,Unhealthy,Avoid all non-essential outdoor physical exertion,48.914
4.46,44.57,53.22,7.48,Traffic congestion,Unhealthy for sensitive groups,Vulnerable populations advised to avoid outdoor exposure,28.84
2.484,16.41,147.43,5.62,Domestic cooking/heating smoke,Unhealthy,Ensure proper ventilation with an air filter system,74.957
2.067,9.01,130.75,5.66,Domestic cooking/heating smoke,Unhealthy,Consider wearing an N95 respirator mask outdoors,66.4085
2.435,45.79,69.89,46.07,Power plant emissions,Unhealthy,Use an air purifier to improve indoor air quality,36.1625
5.483,15.29,149.25,9.56,Biomass burning,Unhealthy,Stay indoors with windows and doors securely closed,77.3665
4.097,4.51,104.3,1.41,Biomass burning,Unhealthy,Avoid all non-essential outdoor physical exertion,54.1985
1.514,9.1,150.85,7.97,Construction dust,Very unhealthy,Use an air filter or purifier in your home,76.182
5.231,10.13,156.46,0.71,Biomass burning,Very unhealthy,"Cancel all outdoor activities, including school sports",80.8455
0.651,14.75,16.68,0.22,Natural background air,Moderate,Enjoy outdoor activities but with caution,8.6655
4.54,79.36,52.03,1.99,Traffic congestion,Unhealthy for sensitive groups,Children and seniors should reduce prolonged exertion outside,28.285
9.704,66.56,46.47,4.18,Traffic congestion,Unhealthy for sensitive groups,Sensitive individuals should limit strenuous outdoor efforts,28.087
2.297,43.38,52.28,49.04,Power plant emissions,Unhealthy for sensitive groups,Vulnerable populations advised to avoid outdoor exposure,27.2885
1.911,42.39,67.89,29.18,Power plant emissions,Unhealthy,Avoid all non-essential outdoor physical exertion,34.9005
1.88,13.38,13.39,2.72,Natural background air,Moderate,Be mindful of your body's health reactions,7.635
2.845,24.08,61.92,7.16,Domestic cooking/heating smoke,Very unhealthy,"Cancel all outdoor activities, including school sports",32.3825
4.84,10.01,130.71,2.66,Domestic cooking/heating smoke,Unhealthy,Avoid all non-essential outdoor physical exertion,67.775
0.821,3.47,3.41,0.98,Natural background air,Good,"Enjoy clean air and sunshine, stay active",2.1155
4.995,46.27,33.7,7.44,Traffic congestion,Moderate,Be mindful of your body's health reactions,19.3475
6.652,26.98,239.83,14.95,Waste burning,Very unhealthy,Postpone all unnecessary outdoor travel and work,123.241
3.765,9.94,147.67,5.44,Domestic cooking/heating smoke,Unhealthy,Stay indoors with windows and doors securely closed,75.7175
0.709,5.72,10.3,3.64,Natural background air,Good,Enjoy all outdoor activities with no restrictions,5.5045
1.637,2.58,265.6,6.93,Construction dust,Hazardous,All outdoor activity must cease for a short period,133.6185
3.868,18.0,94.82,9.56,Biomass burning,Unhealthy,Consider wearing an N95 respirator mask outdoors,49.344
9.636,39.88,27.33,7.41,Traffic congestion,Moderate,Consider reducing prolonged outdoor physical activity,18.483
2.466,78.75,98.15,26.7,Industrial emissions,Unhealthy,Stay indoors with windows and doors securely closed,50.308
1.4,44.95,101.23,27.92,Industrial emissions,Unhealthy,Postpone outdoor sports and strenuous activities today,51.315
1.534,3.09,178.58,4.65,Construction dust,Very unhealthy,Postpone all unnecessary outdoor travel and work,90.057
0.733,9.29,149.53,9.68,Construction dust,Unhealthy,Postpone outdoor sports and strenuous activities today,75.1315
1.659,10.56,23.64,2.04,Natural background air,Moderate,Consider reducing prolonged outdoor physical activity,12.6495
1.197,0.46,6.87,0.16,Natural background air,Moderate,Consider reducing prolonged outdoor physical activity,4.0335
3.494,6.6,171.05,5.19,Biomass burning,Very unhealthy,Wear a certified respirator mask when stepping outside,87.272
1.02,8.78,8.98,2.38,Natural background air,Moderate,Be mindful of your body's health reactions,5.0
5.606,18.45,119.9,5.88,Waste burning,Unhealthy,Ensure proper ventilation with an air filter system,62.753
3.237,50.92,117.11,24.83,Industrial emissions,Unhealthy,Stay indoors with windows and doors securely closed,60.1735
4.316,43.37,49.97,8.95,Traffic congestion,Unhealthy for sensitive groups,People with respiratory issues must stay indoors,27.143
6.1,27.68,138.57,6.7,Waste burning,Unhealthy,Avoid all non-essential outdoor physical exertion,72.335
4.273,14.68,183.78,4.37,Waste burning,Very unhealthy,Avoid exposure to outdoor air as much as possible,94.0265
5.758,57.59,29.93,8.02,Traffic congestion,Unhealthy for sensitive groups,Avoid strenuous outdoor work or physical exercise,17.844
0.933,5.42,140.4,8.76,Construction dust,Unhealthy,Use an air purifier to improve indoor air quality,70.6665
5.382,30.08,181.5,1.19,Waste burning,Very unhealthy,Postpone all unnecessary outdoor travel and work,93.441
0.209,12.34,5.25,1.97,Natural background air,Moderate,Keep an eye on air quality updates hourly,2.7295
4.959,18.77,184.67,7.66,Biomass burning,Very unhealthy,Avoid exposure to outdoor air as much as possible,94.8145
1.487,10.85,145.35,8.36,Construction dust,Unhealthy,Avoid all non-essential outdoor physical exertion,73.4185
3.013,3.34,165.85,6.66,Biomass burning,Very unhealthy,It is strongly advised to remain indoors now,84.4315
0.402,1.2,205.93,0.1,Construction dust,Very unhealthy,It is strongly advised to remain indoors now,103.166
5.716,16.9,215.52,3.39,Waste burning,Very unhealthy,"Cancel all outdoor activities, including school sports",110.618
1.371,12.88,136.89,8.65,Construction dust,Unhealthy,Ensure proper ventilation with an air filter system,69.1305
0.265,8.2,218.78,0.89,Construction dust,Very unhealthy,Keep windows sealed and use indoor air circulation,109.5225
4.798,2.97,144.1,6.84,Domestic cooking/heating smoke,Unhealthy,Stay indoors with windows and doors securely closed,74.449
0.71,9.19,14.63,2.74,Natural background air,Moderate,Continue with normal activities but remain vigilant,7.67
1.243,51.79,98.14,17.83,Industrial emissions,Unhealthy,Use an air purifier to improve indoor air quality,49.6915
4.486,19.73,88.39,9.14,Domestic cooking/heating smoke,Unhealthy,Consider wearing an N95 respirator mask outdoors,46.438
0.17,12.11,259.09,9.15,Construction dust,Hazardous,Use high-quality N95 respirator masks if unavoidable,129.63
5.327,32.3,31.35,5.83,Traffic congestion,Moderate,Enjoy outdoor activities but with caution,18.3385
9.455,43.22,39.36,7.56,Traffic congestion,Unhealthy for sensitive groups,Children and seniors should reduce prolonged exertion outside,24.4075
0.671,11.48,10.82,2.42,Natural background air,Moderate,Consider reducing prolonged outdoor physical activity,5.7455
3.281,47.72,87.94,21.16,Industrial emissions,Unhealthy,Ensure proper ventilation with an air filter system,45.6105
0.858,9.78,18.18,0.0,Natural background air,Moderate,Enjoy outdoor activities but with caution,9.519
2.886,46.75,71.75,41.6,Power plant emissions,Unhealthy,Consider wearing an N95 respirator mask outdoors,37.318
5.837,77.47,51.73,1.4,Traffic congestion,Unhealthy for sensitive groups,Children and seniors should reduce prolonged exertion outside,28.7835
4.404,44.65,56.79,2.4,Traffic congestion,Unhealthy for sensitive groups,Limit time spent in high-traffic or dusty areas,30.597
3.472,6.2,115.52,8.71,Biomass burning,Unhealthy,Wear a high-efficiency particulate air mask outdoors,59.496
5.611,26.81,202.65,4.73,Waste burning,Very unhealthy,It is strongly advised to remain indoors now,104.1305
1.132,59.07,48.0,34.86,Power plant emissions,Unhealthy for sensitive groups,People with respiratory issues must stay indoors,24.566
2.771,65.91,71.53,29.56,Industrial emissions,Unhealthy,Consider wearing an N95 respirator mask outdoors,37.1505
1.763,4.92,141.2,8.7,Construction dust,Unhealthy,Use an air purifier to improve indoor air quality,71.4815
0.716,0.13,20.98,0.16,Natural background air,Moderate,Enjoy outdoor activities but with caution,10.848
5.433,12.72,127.19,6.74,Biomass burning,Unhealthy,Stay indoors with windows and doors securely closed,66.3115
0.199,9.06,3.02,0.39,Natural background air,Good,No precautions are required at this time,1.6095
4.568,5.99,90.15,5.01,Biomass burning,Unhealthy,Avoid all non-essential outdoor physical exertion,47.359
1.198,1.08,161.59,9.31,Construction dust,Very unhealthy,It is strongly advised to remain indoors now,81.394
4.787,15.94,145.68,9.64,Waste burning,Unhealthy,Postpone outdoor sports and strenuous activities today,75.2335
7.21,31.54,121.46,14.29,Waste burning,Unhealthy,Postpone outdoor sports and strenuous activities today,64.335
1.368,29.59,70.64,37.78,Power plant emissions,Unhealthy,Avoid all non-essential outdoor physical exertion,36.004
0.392,14.16,295.79,3.76,Construction dust,Hazardous,Close all building ventilation systems to the outside,148.091
0.226,6.1,207.83,5.41,Construction dust,Very unhealthy,Keep windows sealed and use indoor air circulation,104.028
1.609,59.42,62.14,41.81,Power plant emissions,Unhealthy,Use an air purifier to improve indoor air quality,31.8745
1.897,12.64,18.06,0.39,Natural background air,Moderate,Enjoy outdoor activities but with caution,9.9785
3.66,12.58,78.25,8.59,Domestic cooking/heating smoke,Unhealthy,Consider wearing an N95 respirator mask outdoors,40.955
1.713,5.94,156.65,4.25,Construction dust,Very unhealthy,Postpone all unnecessary outdoor travel and work,79.1815
4.218,46.78,32.4,3.27,Traffic congestion,Moderate,Enjoy outdoor activities but with caution,18.309
2.627,2.12,102.54,4.82,Domestic cooking/heating smoke,Unhealthy,Postpone outdoor sports and strenuous activities today,52.5835
4.931,11.35,129.29,0.58,Waste burning,Unhealthy,Consider wearing an N95 respirator mask outdoors,67.1105
3.399,1.89,95.52,8.04,Domestic cooking/heating smoke,Unhealthy,Stay indoors with windows and doors securely closed,49.4595
1.192,1.34,181.39,0.9,Construction dust,Very unhealthy,Wear a certified respirator mask when stepping outside,91.291
4.542,1.56,90.84,0.67,Domestic cooking/heating smoke,Unhealthy,Wear a high-efficiency particulate air mask outdoors,47.691
4.483,4.27,63.71,2.04,Domestic cooking/heating smoke,Unhealthy,Postpone outdoor sports and strenuous activities today,34.0965
7.07,64.83,26.38,7.99,Traffic congestion,Moderate,Be mindful of your body's health reactions,16.725
0.686,2.07,10.99,2.48,Natural background air,Good,It is a great day for outdoor recreation,5.838
0.523,1.0,0.7,1.22,Natural background air,Good,It is a great day for outdoor recreation,0.6115
3.342,3.02,107.81,2.51,Biomass burning,Unhealthy,Ensure proper ventilation with an air filter system,55.576
4.687,22.95,132.89,4.25,Waste burning,Unhealthy,Use an air purifier to improve indoor air quality,68.7885
1.787,42.1,72.73,30.86,Power plant emissions,Unhealthy,Avoid all non-essential outdoor physical exertion,37.2585
1.867,5.17,149.82,5.63,Construction dust,Unhealthy,Use an air purifier to improve indoor air quality,75.8435
9.709,59.1,47.11,4.48,Traffic congestion,Unhealthy for sensitive groups,Children and seniors should reduce prolonged exertion outside,28.4095
2.305,39.78,59.8,24.12,Power plant emissions,Unhealthy,Use an air purifier to improve indoor air quality,31.0525
1.514,50.46,31.41,31.88,Power plant emissions,Moderate,Enjoy outdoor activities but with caution,16.462
5.825,13.37,161.76,3.62,Biomass burning,Very unhealthy,Keep windows sealed and use indoor air circulation,83.7925
1.246,1.12,12.59,0.91,Natural background air,Moderate,Be mindful of your body's health reactions,6.918
4.956,28.95,214.24,4.69,Waste burning,Very unhealthy,Use an air filter or purifier in your home,109.598
7.947,41.99,49.93,2.37,Traffic congestion,Unhealthy for sensitive groups,Limit time spent in high-traffic or dusty areas,28.9385
4.812,53.58,32.22,3.64,Traffic congestion,Moderate,Stay informed on daily air quality forecasts,18.516
2.599,56.89,73.98,32.07,Industrial emissions,Unhealthy,Stay indoors with windows and doors securely closed,38.2895
0.206,10.79,12.6,3.54,Natural background air,Moderate,Enjoy outdoor activities but with caution,6.403
8.451,53.16,32.86,4.52,Traffic congestion,Moderate,Continue with normal activities but remain vigilant,20.6555
1.162,10.72,22.92,3.53,Natural background air,Moderate,Keep an eye on air quality updates hourly,12.041
7.121,24.1,139.91,10.42,Waste burning,Unhealthy,Wear a high-efficiency particulate air mask outdoors,73.5155
1.471,9.96,2.83,3.6,Natural background air,Moderate,Keep an eye on air quality updates hourly,2.1505
4.484,77.5,58.8,8.08,Traffic congestion,Unhealthy for sensitive groups,Avoid strenuous outdoor work or physical exercise,31.642
7.274,11.0,233.6,14.88,Waste burning,Very unhealthy,Use an air filter or purifier in your home,120.437
1.027,9.76,22.24,2.2,Natural background air,Moderate,Enjoy outdoor activities but with caution,11.6335
6.703,19.9,213.68,6.81,Waste burning,Very unhealthy,Keep windows sealed and use indoor air circulation,110.1915
1.522,45.82,96.56,34.34,Industrial emissions,Unhealthy,Ensure proper ventilation with an air filter system,49.041
3.832,42.93,99.68,38.21,Industrial emissions,Unhealthy,Avoid all non-essential outdoor physical exertion,51.756
2.775,56.39,46.79,38.84,Power plant emissions,Unhealthy for sensitive groups,People with respiratory issues must stay indoors,24.7825
3.22,8.21,101.41,7.62,Domestic cooking/heating smoke,Unhealthy,Postpone outdoor sports and strenuous activities today,52.315
0.854,1.93,290.62,4.75,Construction dust,Hazardous,Close all building ventilation systems to the outside,145.737
2.688,11.73,84.9,1.01,Domestic cooking/heating smoke,Unhealthy,Stay indoors with windows and doors securely closed,43.794
1.201,7.95,125.98,2.47,Construction dust,Unhealthy,Avoid all non-essential outdoor physical exertion,63.5905
1.324,6.97,15.76,2.25,Natural background air,Moderate,Keep an eye on air quality updates hourly,8.542
5.285,7.73,141.84,4.92,Biomass burning,Unhealthy,Ensure proper ventilation with an air filter system,73.5625
1.491,60.16,117.89,22.2,Industrial emissions,Unhealthy,Stay indoors with windows and doors securely closed,59.6905
0.667,4.75,259.55,0.52,Construction dust,Hazardous,All outdoor activity must cease for a short period,130.1085
3.61,42.04,111.35,28.69,Industrial emissions,Unhealthy,Avoid all non-essential outdoor physical exertion,57.48
1.339,13.32,203.33,6.07,Construction dust,Very unhealthy,Use an air filter or purifier in your home,102.3345
1.921,50.13,79.19,22.46,Power plant emissions,Unhealthy,Stay indoors with windows and doors securely closed,40.5555
1.214,52.54,75.51,32.1,Power plant emissions,Unhealthy,Ensure proper ventilation with an air filter system,38.362
5.097,44.65,31.2,0.89,Traffic congestion,Moderate,Enjoy outdoor activities but with caution,18.1485
3.179,89.6,57.84,25.64,Industrial emissions,Unhealthy,Avoid all non-essential outdoor physical exertion,30.5095
5.384,14.14,86.98,0.73,Biomass burning,Unhealthy,Stay indoors with windows and doors securely closed,46.182
1.545,2.53,20.55,3.85,Natural background air,Moderate,Keep an eye on air quality updates hourly,11.0475
1.281,3.89,2.12,0.6,Natural background air,Moderate,Stay informed on daily air quality forecasts,1.7005
5.93,2.21,131.28,0.42,Biomass burning,Unhealthy,Avoid all non-essential outdoor physical exertion,68.605
1.609,0.99,17.31,2.86,Natural background air,Moderate,Enjoy outdoor activities but with caution,9.4595
4.119,15.57,149.12,3.12,Domestic cooking/heating smoke,Unhealthy,Postpone outdoor sports and strenuous activities today,76.6195
2.795,77.05,119.89,38.39,Industrial emissions,Unhealthy,Postpone outdoor sports and strenuous activities today,61.3425
0.569,0.71,16.71,4.31,Natural background air,Moderate,Enjoy outdoor activities but with caution,8.6395
7.102,19.83,121.75,0.16,Waste burning,Unhealthy,Stay indoors with windows and doors securely closed,64.426
7.837,42.77,27.66,1.29,Traffic congestion,Moderate,Keep an eye on air quality updates hourly,17.7485
0.471,13.99,274.85,7.1,Construction dust,Hazardous,Follow all official warnings and emergency protocols,137.6605
0.474,6.71,1.81,4.77,Natural background air,Good,"Enjoy clean air and sunshine, stay active",1.142
1.701,67.46,111.73,31.62,Industrial emissions,Unhealthy,Postpone outdoor sports and strenuous activities today,56.7155
3.078,20.59,134.04,4.77,Domestic cooking/heating smoke,Unhealthy,Wear a high-efficiency particulate air mask outdoors,68.559
1.213,13.96,20.92,4.98,Natural background air,Moderate,Consider reducing prolonged outdoor physical activity,11.0665
5.898,15.22,194.14,7.03,Biomass burning,Very unhealthy,Use an air filter or purifier in your home,100.019
2.219,57.11,37.82,42.8,Power plant emissions,Unhealthy for sensitive groups,Sensitive individuals should limit strenuous outdoor efforts,20.0195
3.584,82.48,114.41,22.05,Industrial emissions,Unhealthy,Ensure proper ventilation with an air filter system,58.997
1.185,41.57,49.72,46.14,Power plant emissions,Unhealthy for sensitive groups,Avoid strenuous outdoor work or physical exercise,25.4525
5.47,75.08,38.44,5.44,Traffic congestion,Unhealthy for sensitive groups,Avoid strenuous outdoor work or physical exercise,21.955
6.687,28.23,186.68,3.1,Waste burning,Very unhealthy,It is strongly advised to remain indoors now,96.6835
4.589,17.45,114.37,13.66,Waste burning,Unhealthy,Stay indoors with windows and doors securely closed,59.4795
5.952,5.77,195.38,3.89,Biomass burning,Very unhealthy,It is strongly advised to remain indoors now,100.666
6.44,61.48,55.18,9.5,Traffic congestion,Unhealthy,Consider wearing an N95 respirator mask outdoors,30.81
3.715,20.82,141.64,0.12,Domestic cooking/heating smoke,Unhealthy,Use an air purifier to improve indoor air quality,72.6775
0.821,14.0,235.1,8.02,Construction dust,Very unhealthy,Avoid exposure to outdoor air as much as possible,117.9605
4.971,0.64,114.71,6.6,Domestic cooking/heating smoke,Unhealthy,Ensure proper ventilation with an air filter system,59.8405
6.826,77.42,30.37,5.86,Traffic congestion,Moderate,Stay informed on daily air quality forecasts,18.598
1.852,0.14,134.5,2.5,Construction dust,Unhealthy,Consider wearing an N95 respirator mask outdoors,68.176
2.979,7.48,81.69,1.3,Domestic cooking/heating smoke,Unhealthy,Wear a high-efficiency particulate air mask outdoors,42.3345
1.274,84.0,69.33,19.11,Industrial emissions,Very unhealthy,Keep windows sealed and use indoor air circulation,35.302
2.895,53.73,94.75,28.96,Industrial emissions,Unhealthy,Ensure proper ventilation with an air filter system,48.8225
0.212,7.39,4.02,4.89,Natural background air,Good,No precautions are required at this time,2.116
1.576,56.85,66.64,24.52,Industrial emissions,Unhealthy,Use an air purifier to improve indoor air quality,34.108
9.707,74.62,40.95,6.2,Traffic congestion,Unhealthy for sensitive groups,People with respiratory issues must stay indoors,25.3285
5.241,22.58,219.67,11.09,Waste burning,Very unhealthy,Avoid exposure to outdoor air as much as possible,112.4555
6.76,36.55,59.47,8.39,Traffic congestion,Unhealthy,Postpone outdoor sports and strenuous activities today,33.115
1.64,43.21,38.13,48.83,Power plant emissions,Unhealthy for sensitive groups,Children and seniors should reduce prolonged exertion outside,19.885
4.667,14.47,117.28,1.56,Domestic cooking/heating smoke,Unhealthy,Ensure proper ventilation with an air filter system,60.9735
8.396,55.28,49.09,4.35,Traffic congestion,Unhealthy for sensitive groups,Vulnerable populations advised to avoid outdoor exposure,28.743
2.261,40.62,51.89,30.0,Power plant emissions,Unhealthy for sensitive groups,Sensitive individuals should limit strenuous outdoor efforts,27.0755
0.559,2.87,12.61,4.33,Natural background air,Moderate,Consider reducing prolonged outdoor physical activity,6.5845
0.64,10.05,4.7,3.12,Natural background air,Moderate,Keep an eye on air quality updates hourly,2.67
1.352,6.08,287.75,0.89,Construction dust,Hazardous,Close all building ventilation systems to the outside,144.551
0.739,7.59,14.01,3.64,Natural background air,Moderate,Be mindful of your body's health reactions,7.3745
5.945,12.73,138.03,4.75,Waste burning,Unhealthy,Wear a high-efficiency particulate air mask outdoors,71.9875
0.535,6.16,281.85,8.96,Construction dust,Hazardous,Outdoor activities are dangerous for all population groups,141.1925
2.831,35.03,74.79,24.0,Power plant emissions,Very unhealthy,Use an air filter or purifier in your home,38.8105
1.543,74.37,63.52,28.6,Industrial emissions,Unhealthy,Stay indoors with windows and doors securely closed,32.5315
1.172,8.8,11.14,4.18,Natural background air,Moderate,Continue with normal activities but remain vigilant,6.156
2.938,16.36,81.65,0.14,Domestic cooking/heating smoke,Unhealthy,Use an air purifier to improve indoor air quality,42.294
1.081,6.87,290.16,6.74,Construction dust,Hazardous,Outdoor activities are dangerous for all population groups,145.6205
8.324,63.29,25.95,2.22,Traffic congestion,Moderate,Enjoy outdoor activities but with caution,17.137
4.209,5.91,108.65,2.81,Biomass burning,Unhealthy,Use an air purifier to improve indoor air quality,56.4295
5.021,38.64,27.03,8.66,Traffic congestion,Good,No precautions are required at this time,16.0255
6.32,35.09,52.2,5.58,Traffic congestion,Unhealthy for sensitive groups,Sensitive individuals should limit strenuous outdoor efforts,29.26
4.709,5.19,133.0,5.94,Biomass burning,Unhealthy,Stay indoors with windows and doors securely closed,68.8545
0.077,9.32,19.45,2.5,Natural background air,Moderate,Continue with normal activities but remain vigilant,9.7635
2.779,24.24,99.38,3.48,Domestic cooking/heating smoke,Unhealthy,Wear a high-efficiency particulate air mask outdoors,51.0795
0.768,12.82,255.07,2.72,Construction dust,Hazardous,All individuals should immediately seek indoor shelter,127.919
0.99,1.29,221.09,5.03,Construction dust,Very unhealthy,Wear a certified respirator mask when stepping outside,111.04
0.384,0.92,14.77,4.95,Natural background air,Moderate,Keep an eye on air quality updates hourly,7.577
2.146,53.86,46.34,31.14,Power plant emissions,Unhealthy for sensitive groups,Vulnerable populations advised to avoid outdoor exposure,24.243
2.176,54.57,30.87,22.42,Power plant emissions,Moderate,Stay informed on daily air quality forecasts,16.523
1.079,1.16,124.23,1.02,Construction dust,Unhealthy,Ensure proper ventilation with an air filter system,62.6545
1.296,59.48,40.45,24.78,Power plant emissions,Unhealthy for sensitive groups,Monitor your symptoms and seek medical advice,20.873
0.092,8.16,8.46,2.37,Natural background air,Good,Feel free to engage in all physical activities,4.276
1.45,56.91,101.88,27.42,Industrial emissions,Unhealthy,Ensure proper ventilation with an air filter system,51.665
0.895,14.48,188.55,2.58,Construction dust,Very unhealthy,Postpone all unnecessary outdoor travel and work,94.7225
5.601,30.3,103.07,9.74,Waste burning,Unhealthy,Wear a high-efficiency particulate air mask outdoors,54.3355
0.144,13.64,292.44,0.78,Construction dust,Hazardous,Evacuate from affected areas if public safety permits,146.292
2.86,43.94,42.95,22.53,Power plant emissions,Unhealthy for sensitive groups,Monitor your symptoms and seek medical advice,22.905
0.536,9.06,21.78,4.99,Natural background air,Good,Enjoy all outdoor activities with no restrictions,11.158
0.133,14.98,125.44,8.35,Construction dust,Unhealthy,Consider wearing an N95 respirator mask outdoors,62.7865
0.71,7.23,211.06,3.16,Construction dust,Very unhealthy,It is strongly advised to remain indoors now,105.885
2.857,47.8,45.58,36.23,Power plant emissions,Unhealthy for sensitive groups,Vulnerable populations advised to avoid outdoor exposure,24.2185
4.109,1.05,172.34,4.17,Biomass burning,Very unhealthy,Postpone all unnecessary outdoor travel and work,88.2245
1.888,5.94,17.35,2.45,Natural background air,Moderate,Continue with normal activities but remain vigilant,9.619
2.452,30.12,45.14,36.44,Power plant emissions,Unhealthy for sensitive groups,Avoid strenuous outdoor work or physical exercise,23.796
1.379,1.91,8.92,2.96,Natural background air,Moderate,Be mindful of your body's health reactions,5.1495
0.114,1.66,160.27,4.64,Construction dust,Very unhealthy,Use an air filter or purifier in your home,80.192
2.8,55.29,98.95,36.64,Industrial emissions,Unhealthy,Stay indoors with windows and doors securely closed,50.875
4.658,10.4,98.0,7.75,Biomass burning,Unhealthy,Wear a high-efficiency particulate air mask outdoors,51.329
2.257,35.05,31.95,34.21,Power plant emissions,Moderate,Be mindful of your body's health reactions,17.1035
2.969,48.66,44.27,37.99,Power plant emissions,Unhealthy for sensitive groups,Monitor your symptoms and seek medical advice,23.6195
5.98,0.9,171.56,3.72,Biomass burning,Very unhealthy,"Cancel all outdoor activities, including school sports",88.77
1.87,35.95,57.27,24.87,Power plant emissions,Unhealthy,Use an air purifier to improve indoor air quality,29.57
1.687,54.97,57.96,35.93,Power plant emissions,Unhealthy,Consider wearing an N95 respirator mask outdoors,29.8235
3.889,10.08,127.96,5.31,Domestic cooking/heating smoke,Very unhealthy,Postpone all unnecessary outdoor travel and work,65.9245
5.541,17.86,88.43,8.83,Biomass burning,Unhealthy,Ensure proper ventilation with an air filter system,46.9855
3.027,19.96,161.54,8.28,Biomass burning,Very unhealthy,Wear a certified respirator mask when stepping outside,82.2835
1.8,27.95,59.17,46.65,Power plant emissions,Unhealthy,Avoid all non-essential outdoor physical exertion,30.485
1.536,36.73,36.26,40.01,Power plant emissions,Unhealthy for sensitive groups,Children and seniors should reduce prolonged exertion outside,18.898
1.373,32.4,39.21,22.65,Power plant emissions,Unhealthy for sensitive groups,Monitor your symptoms and seek medical advice,20.2915
5.367,26.21,111.2,13.46,Waste burning,Unhealthy,Wear a high-efficiency particulate air mask outdoors,58.2835
0.514,0.31,5.58,0.28,Natural background air,Good,Feel free to engage in all physical activities,3.047
1.083,36.95,57.99,45.88,Power plant emissions,Unhealthy,Avoid all non-essential outdoor physical exertion,29.5365
1.286,26.48,58.34,48.04,Power plant emissions,Unhealthy,Postpone outdoor sports and strenuous activities today,29.813
2.386,59.57,41.26,40.21,Power plant emissions,Unhealthy for sensitive groups,People with respiratory issues must stay indoors,21.823
1.318,14.84,168.44,6.72,Construction dust,Very unhealthy,Avoid exposure to outdoor air as much as possible,84.879
0.641,2.67,163.85,4.18,Construction dust,Very unhealthy,Use an air filter or purifier in your home,82.2455
1.707,36.73,54.55,30.3,Power plant emissions,Unhealthy for sensitive groups,Limit time spent in high-traffic or dusty areas,28.1285
1.993,11.26,16.12,1.78,Natural background air,Moderate,Continue with normal activities but remain vigilant,9.0565
1.336,2.65,14.51,4.52,Natural background air,Good,No precautions are required at this time,7.923
0.157,13.22,134.94,7.07,Construction dust,Unhealthy,Avoid all non-essential outdoor physical exertion,67.5485
1.621,8.05,6.96,0.31,Natural background air,Moderate,Consider reducing prolonged outdoor physical activity,4.2905
2.331,7.23,88.57,2.5,Domestic cooking/heating smoke,Unhealthy,Avoid all non-essential outdoor physical exertion,45.4505
3.369,17.77,140.87,4.49,Biomass burning,Unhealthy,Avoid all non-essential outdoor physical exertion,72.1195
7.402,15.04,240.23,10.34,Waste burning,Very unhealthy,Avoid exposure to outdoor air as much as possible,123.816
1.97,14.19,4.93,4.38,Natural background air,Moderate,Continue with normal activities but remain vigilant,3.45
3.037,9.38,116.85,5.98,Biomass burning,Unhealthy,Postpone outdoor sports and strenuous activities today,59.9435
4.194,6.06,88.82,2.28,Biomass burning,Unhealthy,Postpone outdoor sports and strenuous activities today,46.507
3.342,6.9,141.38,8.74,Biomass burning,Unhealthy,Stay indoors with windows and doors securely closed,72.361
5.4,29.56,248.88,3.61,Waste burning,Very unhealthy,It is strongly advised to remain indoors now,127.14
2.474,27.25,53.74,30.75,Power plant emissions,Unhealthy for sensitive groups,Sensitive individuals should limit strenuous outdoor efforts,28.107
0.299,7.65,203.44,9.01,Construction dust,Very unhealthy,Keep windows sealed and use indoor air circulation,101.8695
6.896,33.22,165.15,1.79,Waste burning,Very unhealthy,Wear a certified respirator mask when stepping outside,86.023
4.733,12.69,175.95,3.96,Biomass burning,Very unhealthy,Postpone all unnecessary outdoor travel and work,90.3415
4.228,29.16,205.61,4.97,Waste burning,Very unhealthy,Keep windows sealed and use indoor air circulation,104.919
4.953,12.42,122.93,8.41,Biomass burning,Unhealthy,Wear a high-efficiency particulate air mask outdoors,63.9415
4.002,17.7,136.93,3.5,Waste burning,Unhealthy,Postpone outdoor sports and strenuous activities today,70.466
1.418,12.36,274.41,4.15,Construction dust,Hazardous,Follow all official warnings and emergency protocols,137.914
4.658,7.93,96.67,8.65,Biomass burning,Unhealthy,Consider wearing an N95 respirator mask outdoors,50.664
0.727,3.25,16.74,4.85,Natural background air,Moderate,Be mindful of your body's health reactions,8.7335
1.209,40.38,69.78,25.1,Power plant emissions,Unhealthy,Stay indoors with windows and doors securely closed,35.4945
1.809,81.43,85.38,17.85,Industrial emissions,Unhealthy,Consider wearing an N95 respirator mask outdoors,43.5945
